Dic,Tablesize,b,No. of words,time taken
english_small.txt,250727,1,29498,130
english_small.txt,402221,1,29157,130
english_small.txt,1000081,1,29760,130
english_small.txt,250727,27183,84097,0.369888928
english_small.txt,402221,27183,84097,0.357502133
english_small.txt,1000081,27183,84097,0.370708692
english_small.txt,250727,250726,28714,130
english_small.txt,402221,250726,84097,0.366453366
english_small.txt,1000081,250726,84097,0.367458413
english_large.txt,250727,1,28634,130
english_large.txt,402221,1,29140,130
english_large.txt,1000081,1,29173,130
english_large.txt,250727,27183,194433,1.01910445
english_large.txt,402221,27183,194433,0.881884059
english_large.txt,1000081,27183,194433,0.853221601
english_large.txt,250727,250726,28541,130
english_large.txt,402221,250726,194433,0.877018187
english_large.txt,1000081,250726,194433,0.844388925
french.txt,250727,1,29569,130
french.txt,402221,1,29410,130
french.txt,1000081,1,29751,130
french.txt,250727,27183,202358,1.177083426
french.txt,402221,27183,202358,1.001357133
french.txt,1000081,27183,202358,0.958321226
french.txt,250727,250726,29691,130
french.txt,402221,250726,202358,0.984796833
french.txt,1000081,250726,202358,0.969846996
