Dic,Tablesize,b,No. of words,time taken,collision,total probe,max probe,rehash count
english_small.txt,250727,1,84097,4.72089757,82518,6234625,324,0
english_small.txt,402221,1,84097,4.567773622,82518,6234625,324,0
english_small.txt,1000081,1,84097,5.179151269,82518,6234625,324,0
english_small.txt,250727,27183,84097,0.546359123,12563,14002,4,0
english_small.txt,402221,27183,84097,0.506230318,8245,8829,4,0
english_small.txt,1000081,27183,84097,0.539793788,3330,3422,3,0
english_small.txt,250727,250726,84097,17.72317763,83767,23579126,846,0
english_small.txt,402221,250726,84097,0.565797226,8216,8780,4,0
english_small.txt,1000081,250726,84097,0.586498479,3431,3535,2,0
english_large.txt,250727,1,194433,28.70006329,192641,31627695,661,0
english_large.txt,402221,1,194433,25.0909456,192641,31627695,661,0
english_large.txt,1000081,1,194433,31.61740871,192641,31627695,661,0
english_large.txt,250727,27183,194433,1.661975361,59210,75428,7,0
english_large.txt,402221,27183,194433,1.406946165,40297,47008,5,0
english_large.txt,1000081,27183,194433,1.69864416,17516,18648,4,0
english_large.txt,250727,250726,100656,130,100391,33945867,986,0
english_large.txt,402221,250726,194433,1.661987677,40221,46956,5,0
english_large.txt,1000081,250726,194433,1.46653918,17540,18699,4,0
french.txt,250727,1,202358,17.10923998,198901,21593079,455,0
french.txt,402221,1,202358,18.72167545,198901,21593079,455,0
french.txt,1000081,1,202358,19.71880381,198901,21593079,455,0
french.txt,250727,27183,202358,1.585760898,63916,82611,7,0
french.txt,402221,27183,202358,1.480222999,43261,50885,6,0
french.txt,1000081,27183,202358,1.621995833,19366,20747,4,0
french.txt,250727,250726,176216,130,173660,45356070,1068,0
french.txt,402221,250726,202358,1.815390492,43160,50677,6,0
french.txt,1000081,250726,202358,1.673368291,18981,20243,4,0
